,logFC,PValue,FDR
ANGPTL4,3.3,4.6E-44,6.4E-40
OTULINL,3.1,9.9E-44,6.9E-40
SCNN1A,2.8,1.2E-39,5.5E-36
TGFBR1,1.2,7.5E-24,2.6E-20
CUL4B,0.81,2.2E-21,6.2E-18
TFCP2L1,2,5.3E-21,1.2E-17
FKBP5,2.3,1.1E-19,2.2E-16
METTL7A,3.2,3E-19,4.8E-16
NDRG1,1.1,3.1E-19,4.8E-16
FAM43A,1.7,4.5E-19,6.3E-16
AQP3,1.6,1.4E-18,1.7E-15
ACSL1,1.2,2.7E-15,3.1E-12
PTGS2,-1.1,5.8E-14,6.2E-11
IRAK3,3.5,2.4E-13,2.3E-10
RHBDL3,-1.1,7.6E-12,7.1E-09
BTBD11,0.61,9.8E-12,8.6E-09
STBD1,1,1.2E-11,9.8E-09
SQOR,0.78,3.4E-11,2.6E-08
ADGRG2,1,6.1E-11,4.5E-08
TBC1D8,0.71,7.1E-11,4.9E-08
CIDEC,2.1,1.8E-10,1.2E-07
PREX1,0.97,2.2E-10,1.4E-07
SGMS1,0.61,3.2E-10,1.9E-07
TIPARP,2.4,4.4E-10,2.5E-07
ADAMTS7,0.86,4.6E-10,2.5E-07
MCAM,-1,4.6E-10,2.5E-07
SMOC1,-1.6,7.6E-10,3.9E-07
LPAR1,0.72,9E-10,4.5E-07
CYP1A1,7,1.2E-09,5.9E-07
TSC22D3,1.1,1.8E-09,8.4E-07
CTH,-1.6,2.8E-09,1.3E-06
SDK2,1.2,2.9E-09,1.3E-06
IL11,-1.8,4.1E-09,1.7E-06
FAM151A,4.4,4.8E-09,1.9E-06
USH1C,-0.83,6E-09,2.4E-06
FZD2,0.74,1.2E-08,4.8E-06
ATOH8,1.3,1.6E-08,6.1E-06
ADRA1B,1,1.7E-08,6.1E-06
BIRC3,1,2.5E-08,8.9E-06
TANC2,0.76,3.7E-08,1.3E-05
BDKRB2,-1,3.8E-08,1.3E-05
SIX5,0.55,3.8E-08,1.3E-05
DOCK4,0.8,4.3E-08,1.4E-05
CXCL5,-1.1,4.5E-08,1.4E-05
CYTH1,0.76,5.2E-08,1.6E-05
VSTM2L,1.2,5.2E-08,1.6E-05
AXIN2,-0.65,5.6E-08,1.6E-05
CDC42EP3,1.3,6.3E-08,1.8E-05
NBEAL2,0.76,6.5E-08,1.8E-05
PLEKHA7,0.74,8.2E-08,2.3E-05
ABTB2,0.8,9.7E-08,2.6E-05
AJUBA,0.59,9.8E-08,2.6E-05
SEC14L2,0.98,1.1E-07,3E-05
HMOX1,0.58,1.3E-07,3.5E-05
PCSK9,-0.98,1.5E-07,3.8E-05
SLC45A1,1.1,1.5E-07,3.8E-05
SERPINA3,1.8,1.6E-07,3.9E-05
STAMBPL1,-0.86,1.6E-07,3.9E-05
IRAK2,0.78,1.7E-07,4.1E-05
KLHL24,0.7,1.9E-07,4.4E-05
PRSS23,-0.86,2E-07,4.7E-05
TRNP1,0.69,2.1E-07,4.7E-05
PER1,1.1,2.3E-07,5E-05
AGFG2,0.83,2.4E-07,5.3E-05
RHOBTB2,0.77,2.8E-07,5.9E-05
C3orf80,-1.4,3.1E-07,6.6E-05
PLIN2,1,3.6E-07,7.5E-05
VASH2,-1.1,3.7E-07,7.6E-05
DTL,-0.67,3.8E-07,7.6E-05
NEIL3,-0.61,3.8E-07,7.6E-05
CPT1A,0.87,4.7E-07,9.2E-05
TNS2,0.73,6.2E-07,0.00012
PRR15L,1.3,6.3E-07,0.00012
TUBB4B,-0.35,6.6E-07,0.00013
